FIELD_LABELS FZ IZ VOR PZ CAS MF AND AB 5-FC
CZPFK001 2 0.0625 0.0313 0.0313 0.0313 0.016 0.0313 0.25 0.125
CZPFK002 8 0.25 0.0625 0.125 0.25 0.5 2 0.25 0.125
CZPFK003 1 0.0625 0.0313 0.0625 0.5 0.5 1 1 0.125
CZPFK004 0.5 0.0625 0.0313 0.0313 0.0313 0.016 0.0625 0.25 0.125
CZPFK005 2 0.25 0.125 0.25 0.0313 0.0313 0.0313 1 0.125
CZPFK006 4 0.25 0.5 0.5 0.0313 0.0313 0.0313 1 0.125
CZPFK007 32 1 2 2 0.0625 0.016 0.0313 0.5 0.125
CZPFK008 16 0.5 1 1 0.0625 0.016 0.0313 0.5 0.125
CZPFK009 0.5 0.0625 0.0313 0.0313 0.0313 0.016 0.016 0.25 0.125
CZPFK010 1 0.0625 0.0313 0.0625 0.5 1 1 0.25 0.125
CZPFK011 0.5 0.0625 0.0313 0.0313 0.0313 0.016 0.016 0.25 0.125
CZPFK012 0.5 0.0625 0.0313 0.0313 0.0313 0.016 0.0313 0.25 0.125
CZPFK013 2 0.0625 0.0313 0.0625 0.0313 0.016 0.0313 0.25 0.125
CZPFK014 16 1 16 1 0.0313 0.0313 0.0313 1 0.125
CZPFK015 0.5 0.125 0.0313 0.0625 0.5 1 1 0.25 0.125
CZPFK016 32 2 2 2 0.0625 0.016 0.0313 0.5 0.125
CZPFK017 0.25 0.0313 0.0313 0.0313 0.016 0.016 0.0313 0.125 0.125
CZPFK018 0.5 0.0313 0.0313 0.0313 0.25 0.5 1 0.25 0.125
CZPFK019 1 0.0625 0.0313 0.0313 0.0313 0.016 0.016 0.25 0.125
CZPFK020 1 0.125 0.0313 0.0313 0.016 0.016 0.0625 0.25 0.125
CZPFK022 4 0.25 0.125 0.5 0.125 0.125 0.125 1 0.125
CZPFK023 128 16 8 8 0.0625 0.016 0.0313 0.5 0.125
CZPFK024 0.25 0.0625 0.0313 0.0625 0.25 0.5 0.5 0.5 0.125
CZPFK025 0.5 0.0625 0.0313 0.0625 0.5 1 2 0.5 0.125
CZPFK026 32 0.5 0.5 1 0.0313 0.016 0.0313 1 0.125
CZPFK027 1 0.0625 0.0313 0.0313 0.016 0.016 0.016 0.5 0.125
CZPFK028 0.5 0.0625 0.0313 0.0313 0.5 0.5 1 0.25 0.125
CZPFK029 4 0.25 0.0625 0.125 0.0313 0.0625 0.0625 0.5 2
CZPFK030 0.5 0.0625 0.0313 0.0313 0.0313 0.0313 0.0625 0.5 64
CZPFK031 0.5 0.0625 0.0313 0.0625 0.5 1 1 0.25 0.25
CZPFK032 8 0.5 1 1 0.0313 0.0313 0.125 1 0.125
CZPFK033 0.25 0.0625 0.0313 0.0625 0.5 1 1 0.125 0.125
CZPFK035 0.5 0.0625 0.0313 0.0625 0.5 1 1 0.5 0.125
CZPFK036 32 1 1 2 0.0313 0.016 0.016 0.25 0.125
CZPFK037 0.5 0.0625 0.0313 0.0313 0.016 0.016 0.016 0.25 0.125
CZPFK038 0.5 0.0625 0.0313 0.0625 0.25 1 1 0.25 0.125
CZPFK039 0.5 0.125 0.0313 0.125 1 1 0.5 0.5 0.125
CZPFK040 0.5 0.0625 0.0313 0.0625 0.5 1 0.5 0.5 0.125
CZPFK041 0.5 0.0625 0.0313 0.0625 0.5 1 1 0.25 0.125
CZPFK042 0.25 0.0313 0.0313 0.0313 0.25 0.25 0.125 0.125 0.125
CZPFK043 4 0.25 0.0625 0.25 0.5 0.5 2 0.25 0.125
CZPFK044 0.5 0.0625 0.0313 0.0313 0.5 0.5 1 0.25 0.125
CZPFK045 16 16 16 16 0.0625 0.125 0.0625 2 0.125
